,Four_grams,Frequency
9987,"('CC_CCD', 'N_NST', 'RP_RPD', 'N_NN')",1
9988,"('PR_PRP', 'N_NN', 'V_VM_VNG', 'V_VM_VF')",1
9989,"('PR_PRP', 'RP_INTF', 'RB', 'N_NN')",1
9990,"('V_VM_VNF', 'N_NN', 'PSP', 'PSP')",1
9991,"('N_NN', 'PSP', 'PSP', 'V_VM_VNF')",1
9992,"('PSP', 'PSP', 'V_VM_VNF', 'V_VAUX')",1
9993,"('V_VM_VNF', 'QT_QTC', 'RD_PUNC', 'DM_DMQ')",1
9994,"('V_VM_VNF', 'PSP', 'RB', 'V_VM_VNF')",1
9995,"('V_VM_VNF', 'PR_PRP', 'V_VM_VINF', 'PR_PRP')",1
9996,"('V_VM_VNF', 'V_VM_VNG', 'N_NN', 'N_NN')",1
9997,"('QT_QTO', 'N_NN', 'N_NN', 'V_VM_VNG')",1
9998,"('V_VAUX', 'CC_CCD', 'RD_PUNC', 'PR_PRP')",1
9999,"('CC_CCD', 'RD_PUNC', 'PR_PRP', 'RB')",1
10000,"('RB', 'N_NN', 'RB', 'RD_SYM')",1
10001,"('N_NN', 'RB', 'RD_SYM', 'N_NN')",1
10002,"('RB', 'RD_SYM', 'N_NN', 'N_NN')",1
10003,"('N_NST', 'RP_RPD', 'V_VM_VNF', 'CC_CCD')",1
10004,"('RP_RPD', 'V_VM_VNF', 'CC_CCD', 'RD_PUNC')",1
10005,"('RD_PUNC', 'JJ', 'QT_QTC', 'RD_PUNC')",1
10006,"('JJ', 'QT_QTC', 'RD_PUNC', 'JJ')",1
10007,"('V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'V_VM_VINF')",1
10008,"('RD_PUNC', 'DM_DMD', 'V_VM_VINF', 'N_NN')",1
10009,"('N_NN', 'CC_CCD', 'RD_PUNC', 'PR_PRP')",1
10010,"('CC_CCD', 'RD_PUNC', 'PR_PRP', 'PR_PRP')",1
10011,"('DM_DMD', 'N_NN', 'RB', 'V_VM_VINF')",1
10012,"('N_NN', 'V_VM_VNG', 'QT_QTC', 'RB')",1
10013,"('V_VM_VNG', 'QT_QTC', 'RB', 'V_VM_VF')",1
10014,"('RD_PUNC', 'V_VM_VNF', 'CC_CCD', 'DM_DMR')",1
10015,"('DM_DMR', 'RB', 'N_NN', 'RD_PUNC')",1
10016,"('RD_PUNC', 'PR_PRP', 'QT_QTC', 'QT_QTC')",1
10017,"('V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'DM_DMD')",1
10018,"('RD_PUNC', 'PR_PRP', 'DM_DMD', 'JJ')",1
10019,"('PR_PRP', 'DM_DMD', 'JJ', 'N_NN')",1
10020,"('DM_DMD', 'JJ', 'N_NN', 'RB')",1
10021,"('RD_PUNC', 'QT_QTF', 'N_NN', 'JJ')",1
10022,"('DM_DMD', 'JJ', 'QT_QTF', 'N_NN')",1
10023,"('V_VM_VINF', 'RB', 'V_VM_VNF', 'RD_PUNC')",1
10024,"('RD_PUNC', 'PSP', 'N_NN', 'RB')",1
10025,"('RD_PUNC', 'N_NST', 'V_VM_VNF', 'V_VAUX')",1
10026,"('V_VM_VNF', 'RB', 'DM_DMQ', 'N_NN')",1
10027,"('V_VM_VNF', 'RD_PUNC', 'N_NST', 'DM_DMQ')",1
10028,"('V_VM_VNF', 'RB', 'RP_RPD', 'V_VM_VF')",1
10029,"('CC_CCD', 'PR_PRP', 'PSP', 'JJ')",1
10030,"('RD_PUNC', 'PR_PRP', 'DM_DMQ', 'N_NST')",1
10031,"('PR_PRP', 'DM_DMQ', 'N_NST', 'V_VM_VNF')",1
10032,"('DM_DMQ', 'N_NST', 'V_VM_VNF', 'V_VM_VF')",1
10033,"('PR_PRP', 'N_NST', 'DM_DMQ', 'V_VM_VNF')",1
10034,"('N_NST', 'DM_DMQ', 'V_VM_VNF', 'RD_PUNC')",1
10035,"('RD_SYM', 'RD_SYM', 'RD_SYM', 'QT_QTF')",1
10036,"('RD_SYM', 'QT_QTF', 'N_NN', 'N_NST')",1
10037,"('N_NN', 'N_NST', 'N_NNP', 'RD_PUNC')",1
10038,"('RD_PUNC', 'PSP', 'V_VM_VINF', 'QT_QTC')",1
10039,"('V_VM_VINF', 'QT_QTC', 'N_NN', 'PR_PRP')",1
10040,"('QT_QTC', 'N_NN', 'PR_PRP', 'QT_QTC')",1
10041,"('DM_DMD', 'N_NN', 'RD_PUNC', 'CC_CCD')",1
10042,"('RD_PUNC', 'V_VM_VNF', 'PR_PRP', 'QT_QTF')",1
10043,"('JJ', 'RB', 'RD_PUNC', 'RD_PUNC')",1
10044,"('RD_PUNC', 'PR_PRP', 'N_NST', 'RD_PUNC')",1
10045,"('PR_PRP', 'N_NST', 'RD_PUNC', 'QT_QTF')",1
10046,"('N_NST', 'RD_PUNC', 'QT_QTF', 'PR_PRP')",1
10047,"('RD_PUNC', 'QT_QTF', 'PR_PRP', 'V_VM_VNF')",1
10048,"('QT_QTF', 'PR_PRP', 'V_VM_VNF', 'PR_PRP')",1
10049,"('DM_DMD', 'N_NN', 'PR_PRP', 'RP_RPD')",1
10050,"('N_NN', 'N_NST', 'RD_PUNC', 'DM_DMD')",1
10051,"('N_NN', 'RD_PUNC', 'PSP', 'RP_INTF')",1
10052,"('RD_PUNC', 'PSP', 'RP_INTF', 'V_VM_VF')",1
10053,"('PSP', 'RP_INTF', 'V_VM_VF', 'RD_PUNC')",1
10054,"('PR_PRP', 'N_NN', 'PR_PRP', 'DM_DMQ')",1
10055,"('PR_PRP', 'PR_PRP', 'RP_INTF', 'RB')",1
10056,"('N_NN', 'RD_PUNC', 'PR_PRP', 'RD_SYM')",1
10057,"('RD_PUNC', 'PR_PRP', 'RD_SYM', 'N_NST')",1
10058,"('PR_PRP', 'RD_SYM', 'N_NST', 'N_NN')",1
10059,"('RD_SYM', 'N_NST', 'N_NN', 'QT_QTC')",1
10060,"('RD_PUNC', 'N_NN', 'PR_PRP', 'QT_QTC')",1
10061,"('N_NN', 'PR_PRP', 'N_NST', 'PR_PRP')",1
10062,"('PR_PRP', 'N_NST', 'PR_PRP', 'RP_RPD')",1
10063,"('PR_PRP', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
10064,"('DM_DMQ', 'V_VM_VNF', 'PR_PRP', 'RP_INTF')",1
10065,"('RD_PUNC', 'CC_CCD', 'RD_SYM', 'N_NN')",1
10066,"('CC_CCD', 'RD_SYM', 'N_NN', 'N_NN')",1
10067,"('RB', 'PR_PRP', 'N_NN', 'RD_SYM')",1
10068,"('PR_PRP', 'N_NN', 'RD_SYM', 'PR_PRP')",1
10069,"('N_NN', 'RD_SYM', 'PR_PRP', 'PR_PRP')",1
10070,"('CC_CCD', 'DM_DMD', 'N_NN', 'DM_DMQ')",1
10071,"('DM_DMQ', 'N_NN', 'N_NN', 'DM_DMD')",1
10072,"('N_NN', 'N_NN', 'DM_DMD', 'V_VM_VF')",1
10073,"('N_NN', 'DM_DMD', 'V_VM_VF', 'RD_PUNC')",1
10074,"('PR_PRP', 'N_NST', 'N_NN', 'V_VM_VNG')",1
10075,"('N_NST', 'N_NN', 'V_VM_VNG', 'CC_CCD')",1
10076,"('V_VM_VNG', 'CC_CCD', 'N_NN', 'PR_PRP')",1
10077,"('CC_CCD', 'N_NN', 'PR_PRP', 'RP_RPD')",1
10078,"('PR_PRP', 'RP_RPD', 'V_VM_VNF', 'CC_CCD')",1
10079,"('RP_RPD', 'V_VM_VNF', 'CC_CCD', 'PR_PRP')",1
10080,"('DM_DMQ', 'V_VM_VNF', 'V_VM_VNF', 'PR_PRP')",1
10081,"('N_NST', 'PR_PRP', 'N_NNP', 'N_NN')",1
10082,"('DM_DMQ', 'QT_QTF', 'N_NN', 'N_NST')",1
10083,"('N_NN', 'N_NST', 'RD_PUNC', 'V_VM_VNF')",1
10084,"('N_NST', 'RD_PUNC', 'V_VM_VNF', 'DM_DMD')",1
10085,"('PSP', 'V_VM_VNF', 'PR_PRP', 'QT_QTF')",1
10086,"('PR_PRP', 'QT_QTF', 'RP_CL', 'V_VM_VNF')",1
10087,"('QT_QTF', 'RP_CL', 'V_VM_VNF', 'V_VAUX')",1
10088,"('RP_CL', 'V_VM_VNF', 'V_VAUX', 'RD_PUNC')",1
10089,"('N_NN', 'QT_QTF', 'RP_CL', 'V_VM_VNG')",1
10090,"('QT_QTF', 'RP_CL', 'V_VM_VNG', 'V_VM_VNF')",1
10091,"('RP_CL', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
10092,"('N_NN', 'V_VM_VINF', 'N_NST', 'DM_DMQ')",1
10093,"('V_VM_VINF', 'N_NST', 'DM_DMQ', 'RP_CL')",1
10094,"('N_NST', 'DM_DMQ', 'RP_CL', 'N_NN')",1
10095,"('DM_DMQ', 'RP_CL', 'N_NN', 'V_VM_VNF')",1
10096,"('N_NN', 'PR_PRP', 'V_VM_VNG', 'PSP')",1
10097,"('PR_PRP', 'V_VM_VNG', 'PSP', 'PR_PRP')",1
10098,"('PSP', 'PR_PRP', 'N_NN', 'N_NST')",1
10099,"('DM_DMR', 'N_NN', 'PSP', 'RB')",1
10100,"('PSP', 'RB', 'V_VM_VNF', 'V_VAUX')",1
10101,"('RB', 'V_VM_VNF', 'V_VAUX', 'N_NST')",1
10102,"('V_VM_VNF', 'V_VAUX', 'N_NST', 'V_VM_VF')",1
10103,"('V_VAUX', 'N_NST', 'V_VM_VF', 'RD_PUNC')",1
10104,"('N_NN', 'N_NN', 'N_NST', 'DM_DMQ')",1
10105,"('N_NST', 'DM_DMQ', 'V_VM_VNF', 'DM_DMD')",1
10106,"('N_NN', 'RP_RPD', 'N_NN', 'N_NST')",1
10107,"('DM_DMR', 'N_NN', 'CC_CCD', 'QT_QTC')",1
10108,"('PR_PRP', 'QT_QTC', 'N_NN', 'DM_DMQ')",1
10109,"('QT_QTC', 'N_NN', 'DM_DMQ', 'V_VM_VNF')",1
10110,"('N_NST', 'PR_PRP', 'DM_DMR', 'N_NN')",1
10111,"('V_VAUX', 'PR_PRP', 'N_NN', 'V_VM_VINF')",1
10112,"('CC_CCD', 'RD_PUNC', 'PR_PRP', 'DM_DMQ')",1
10113,"('RD_PUNC', 'PR_PRP', 'DM_DMQ', 'DM_DMQ')",1
10114,"('PR_PRP', 'DM_DMQ', 'DM_DMQ', 'V_VM_VF')",1
10115,"('RD_PUNC', 'DM_DMQ', 'V_VM_VNF', 'V_VM_VF')",1
10116,"('DM_DMQ', 'RP_RPD', 'DM_DMR', 'RD_PUNC')",1
10117,"('N_NN', 'RD_PUNC', 'PSP', 'DM_DMD')",1
10118,"('RD_PUNC', 'PSP', 'DM_DMD', 'N_NN')",1
10119,"('PSP', 'DM_DMD', 'N_NN', 'RD_PUNC')",1
10120,"('RP_INTF', 'N_NN', 'RD_PUNC', 'V_VM_VNF')",1
10121,"('RD_PUNC', 'V_VM_VNF', 'PR_PRP', 'V_VM_VF')",1
10122,"('CC_CCD', 'RD_PUNC', 'N_NST', 'PR_PRP')",1
10123,"('RD_PUNC', 'N_NST', 'PR_PRP', 'V_VM_VF')",1
10124,"('N_NN', 'V_VM_VNF', 'N_NST', 'DM_DMD')",1
10125,"('V_VM_VNF', 'N_NN', 'RB', 'QT_QTF')",1
10126,"('RD_SYM', 'N_NN', 'V_VM_VNF', 'DM_DMD')",1
10127,"('V_VM_VNG', 'DM_DMQ', 'N_NN', 'V_VM_VNF')",1
10128,"('N_NN', 'DM_DMQ', 'V_VM_VNG', 'RD_PUNC')",1
10129,"('DM_DMQ', 'V_VM_VNG', 'RD_PUNC', 'N_NN')",1
10130,"('DM_DMQ', 'V_VM_VNF', 'RD_PUNC', 'JJ')",1
10131,"('V_VM_VNF', 'RD_PUNC', 'QT_QTF', 'RP_CL')",1
10132,"('RB', 'V_VM_VNF', 'RD_PUNC', 'CC_CCS')",1
10133,"('CC_CCS', 'N_NN', 'RD_PUNC', 'RB')",1
10134,"('RB', 'RD_PUNC', 'V_VM_VNF', 'V_VM_VF')",1
10135,"('V_VM_VNF', 'JJ', 'N_NN', 'RD_SYM')",1
10136,"('JJ', 'N_NN', 'RD_SYM', 'PR_PRP')",1
10137,"('N_NNP', 'V_VM_VNF', 'N_NN', 'RD_SYM')",1
10138,"('V_VM_VNF', 'N_NN', 'RD_SYM', 'RD_PUNC')",1
10139,"('N_NN', 'RD_SYM', 'RD_PUNC', 'RB')",1
10140,"('RD_SYM', 'RD_PUNC', 'RB', 'QT_QTC')",1
10141,"('V_VM_VNF', 'RD_SYM', 'N_NN', 'N_NNP')",1
10142,"('N_NNP', 'JJ', 'N_NN', 'RD_SYM')",1
10143,"('JJ', 'N_NN', 'RD_SYM', 'RD_PUNC')",1
10144,"('RD_SYM', 'RD_PUNC', 'CC_CCD', 'N_NST')",1
10145,"('RD_PUNC', 'CC_CCD', 'N_NST', 'RD_PUNC')",1
10146,"('CC_CCD', 'N_NST', 'RD_PUNC', 'PR_PRP')",1
10147,"('N_NST', 'RD_PUNC', 'PR_PRP', 'V_VM_VNF')",1
10148,"('RD_PUNC', 'RB', 'RD_PUNC', 'V_VM_VNG')",1
10149,"('RB', 'RD_PUNC', 'V_VM_VNG', 'PSP')",1
10150,"('V_VM_VNG', 'PSP', 'RD_PUNC', 'CC_CCD')",1
10151,"('PSP', 'RD_PUNC', 'CC_CCD', 'RD_PUNC')",1
10152,"('RD_PUNC', 'CC_CCD', 'RD_PUNC', 'DM_DMR')",1
10153,"('RD_PUNC', 'DM_DMR', 'N_NN', 'JJ')",1
10154,"('RD_PUNC', 'DM_DMD', 'N_NN', 'CC_CCS_UT')",1
10155,"('DM_DMD', 'N_NN', 'CC_CCS_UT', 'V_VM_VF')",1
10156,"('QT_QTF', 'N_NN', 'V_VM_VNF', 'QT_QTC')",1
10157,"('V_VM_VNF', 'QT_QTC', 'RD_PUNC', 'V_VM_VF')",1
10158,"('V_VM_VNF', 'N_NN', 'N_NST', 'DM_DMQ')",1
10159,"('N_NN', 'N_NST', 'DM_DMQ', 'DM_DMQ')",1
10160,"('N_NST', 'DM_DMQ', 'DM_DMQ', 'N_NN')",1
10161,"('QT_QTC', 'RD_PUNC', 'RB', 'PR_PRP')",1
10162,"('RB', 'PR_PRP', 'N_NN', 'DM_DMQ')",1
10163,"('DM_DMQ', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
10164,"('V_VM_VNG', 'V_VM_VNF', 'RD_PUNC', 'CC_CCD')",1
10165,"('N_NST', 'RD_PUNC', 'N_NN', 'QT_QTF')",1
10166,"('QT_QTC', 'V_VM_VNF', 'N_NN', 'RB')",1
10167,"('N_NST', 'DM_DMQ', 'V_VM_VNF', 'N_NST')",1
10168,"('DM_DMQ', 'V_VM_VNF', 'N_NST', 'RB')",1
10169,"('RD_PUNC', 'N_NNP', 'N_NNP', 'CC_CCS_UT')",1
10170,"('N_NNP', 'N_NNP', 'CC_CCS_UT', 'PSP')",1
10171,"('N_NNP', 'CC_CCS_UT', 'PSP', 'V_VM_VF')",1
10172,"('CC_CCS_UT', 'PSP', 'V_VM_VF', 'RD_PUNC')",1
10173,"('PR_PRP', 'DM_DMD', 'N_NN', 'JJ')",1
10174,"('PR_PRP', 'RB', 'V_VM_VNF', 'CC_CCD')",1
10175,"('RB', 'V_VM_VNF', 'CC_CCD', 'RD_PUNC')",1
10176,"('V_VM_VNF', 'CC_CCD', 'RD_PUNC', 'QT_QTC')",1
10177,"('N_NN', 'RD_PUNC', 'CC_CCD', 'DM_DMR')",1
10178,"('DM_DMQ', 'N_NN', 'N_NN', 'JJ')",1
10179,"('QT_QTF', 'N_NN', 'RP_RPD', 'V_VM_VINF')",1
10180,"('RP_RPD', 'V_VM_VINF', 'N_NN', 'RP_RPD')",1
10181,"('V_VM_VINF', 'N_NN', 'RP_RPD', 'RD_SYM')",1
10182,"('N_NN', 'RP_RPD', 'RD_SYM', 'RD_PUNC')",1
10183,"('RP_RPD', 'N_NN', 'V_VM_VNF', 'CC_CCD')",1
10184,"('CC_CCD', 'RD_PUNC', 'N_NN', 'RP_RPD')",1
10185,"('JJ', 'N_NN', 'RP_RPD', 'DM_DMR')",1
10186,"('DM_DMR', 'N_NN', 'RD_PUNC', 'QT_QTC')",1
10187,"('N_NN', 'RB', 'RD_PUNC', 'QT_QTO')",1
10188,"('RB', 'RD_PUNC', 'QT_QTO', 'QT_QTO')",1
10189,"('RD_PUNC', 'QT_QTO', 'QT_QTO', 'V_VM_VF')",1
10190,"('QT_QTO', 'QT_QTO', 'V_VM_VF', 'RD_PUNC')",1
10191,"('CC_CCD', 'RD_PUNC', 'N_NN', 'DM_DMQ')",1
10192,"('RD_PUNC', 'N_NN', 'DM_DMQ', 'DM_DMR')",1
10193,"('V_VM_VNF', 'N_NN', 'RP_RPD', 'DM_DMR')",1
10194,"('N_NN', 'RP_RPD', 'DM_DMR', 'RD_PUNC')",1
10195,"('V_VM_VNF', 'V_VAUX', 'N_NST', 'N_NN')",1
10196,"('V_VAUX', 'N_NST', 'N_NN', 'V_VM_VF')",1
10197,"('JJ', 'N_NN', 'PSP', 'RD_SYM')",1
10198,"('V_VM_VNF', 'N_NN', 'PSP', 'RD_SYM')",1
10199,"('N_NN', 'PSP', 'RD_SYM', 'N_NST')",1
10200,"('PSP', 'RD_SYM', 'N_NST', 'CC_CCD')",1
10201,"('RD_SYM', 'N_NST', 'CC_CCD', 'N_NN')",1
10202,"('N_NST', 'CC_CCD', 'N_NN', 'V_VM_VF')",1
10203,"('QT_QTC', 'RD_PUNC', 'PR_PRP', 'RD_PUNC')",1
10204,"('RD_PUNC', 'RD_PUNC', 'N_NST', 'V_VM_VF')",1
10205,"('N_NNP', 'N_NN', 'DM_DMQ', 'RP_RPD')",1
10206,"('N_NN', 'DM_DMQ', 'RP_RPD', 'RD_PUNC')",1
10207,"('N_NN', 'N_NNP', 'RB', 'RD_PUNC')",1
10208,"('RB', 'RD_PUNC', 'N_NNP', 'N_NNP')",1
10209,"('N_NNP', 'N_NNP', 'RD_PUNC', 'CC_CCS_UT')",1
10210,"('RD_PUNC', 'RB', 'V_VM_VNF', 'JJ')",1
10211,"('V_VM_VNF', 'RD_PUNC', 'N_NST', 'N_NST')",1
10212,"('RD_PUNC', 'N_NST', 'N_NST', 'V_VM_VF')",1
10213,"('N_NN', 'V_VM_VNG', 'RD_PUNC', 'PSP')",1
10214,"('V_VM_VNG', 'RD_PUNC', 'PSP', 'V_VM_VF')",1
10215,"('RD_PUNC', 'PR_PRP', 'RB', 'V_VM_VF')",1
10216,"('RD_PUNC', 'RB', 'V_VM_VNG', 'QT_QTC')",1
10217,"('RB', 'V_VM_VNG', 'QT_QTC', 'RB')",1
10218,"('V_VM_VNG', 'QT_QTC', 'RB', 'PSP')",1
10219,"('QT_QTC', 'RB', 'PSP', 'V_VM_VNF')",1
10220,"('RB', 'PSP', 'V_VM_VNF', 'RD_SYM')",1
10221,"('PSP', 'V_VM_VNF', 'RD_SYM', 'RD_PUNC')",1
10222,"('RP_RPD', 'RD_PUNC', 'PR_PRP', 'PR_PRP')",1
10223,"('N_NN', 'N_NST', 'RB', 'JJ')",1
10224,"('N_NST', 'RB', 'JJ', 'N_NN')",1
10225,"('N_NST', 'RP_RPD', 'DM_DMD', 'JJ')",1
10226,"('RP_RPD', 'DM_DMD', 'JJ', 'N_NN')",1
10227,"('DM_DMD', 'JJ', 'N_NN', 'RD_SYM')",1
10228,"('RB', 'V_VM_VNF', 'N_NN', 'RD_SYM')",1
10229,"('V_VM_VNF', 'N_NN', 'RD_SYM', 'PR_PRP')",1
10230,"('RP_RPD', 'N_NN', 'PSP', 'V_VM_VF')",1
10231,"('N_NN', 'RP_INTF', 'N_NN', 'JJ')",1
10232,"('N_NN', 'N_NNP', 'RD_PUNC', 'CC_CCS')",1
10233,"('N_NNP', 'RD_PUNC', 'CC_CCS', 'RD_PUNC')",1
10234,"('N_NNP', 'N_NN', 'RD_PUNC', 'CC_CCS')",1
10235,"('N_NN', 'RD_PUNC', 'CC_CCS', 'RD_PUNC')",1
10236,"('CC_CCS', 'RD_PUNC', 'PR_PRP', 'N_NNP')",1
10237,"('N_NNP', 'N_NN', 'QT_QTF', 'RB')",1
10238,"('DM_DMD', 'RB', 'RP_RPD', 'RP_RPD')",1
10239,"('RB', 'RP_RPD', 'RP_RPD', 'RD_PUNC')",1
10240,"('RP_RPD', 'RP_RPD', 'RD_PUNC', 'PR_PRP')",1
10241,"('RD_PUNC', 'PR_PRP', 'QT_QTC', 'RD_PUNC')",1
10242,"('PR_PRP', 'QT_QTC', 'RD_PUNC', 'PR_PRP')",1
10243,"('CC_CCD', 'RD_PUNC', 'RD_PUNC', 'N_NNP')",1
10244,"('RD_PUNC', 'PR_PRP', 'RB', 'RB')",1
10245,"('PSP', 'PR_PRP', 'N_NN', 'DM_DMQ')",1
10246,"('RD_PUNC', 'N_NN', 'N_NNP', 'CC_CCD')",1
10247,"('N_NN', 'N_NNP', 'CC_CCD', 'PR_PRP')",1
10248,"('N_NNP', 'CC_CCD', 'PR_PRP', 'N_NN')",1
10249,"('CC_CCD', 'PR_PRP', 'N_NN', 'CC_CCS_UT')",1
10250,"('N_NN', 'RD_PUNC', 'PR_PRP', 'DM_DMQ')",1
10251,"('PR_PRP', 'DM_DMQ', 'N_NN', 'RD_SYM')",1
10252,"('RD_SYM', 'PR_PRP', 'N_NN', 'DM_DMQ')",1
10253,"('PR_PRP', 'N_NN', 'DM_DMQ', 'RD_SYM')",1
10254,"('N_NN', 'DM_DMQ', 'RD_SYM', 'V_VM_VNF')",1
10255,"('DM_DMQ', 'RD_SYM', 'V_VM_VNF', 'N_NN')",1
10256,"('RD_SYM', 'V_VM_VNF', 'N_NN', 'RP_RPD')",1
10257,"('V_VM_VNF', 'N_NN', 'RP_RPD', 'V_VM_VINF')",1
10258,"('RP_RPD', 'V_VM_VINF', 'N_NN', 'V_VM_VF')",1
10259,"('RD_PUNC', 'CC_CCS', 'N_NNP', 'N_NN')",1
10260,"('CC_CCS', 'N_NNP', 'N_NN', 'N_NN')",1
10261,"('CC_CCD', 'RD_PUNC', 'V_VM_VINF', 'N_NNP')",1
10262,"('RD_PUNC', 'V_VM_VINF', 'N_NNP', 'N_NN')",1
10263,"('V_VM_VNF', 'RD_PUNC', 'CC_CCD', 'DM_DMR')",1
10264,"('CC_CCD', 'DM_DMR', 'N_NN', 'RP_RPD')",1
10265,"('DM_DMR', 'N_NN', 'RP_RPD', 'V_VM_VINF')",1
10266,"('N_NN', 'RP_RPD', 'V_VM_VINF', 'PR_PRP')",1
10267,"('RP_RPD', 'V_VM_VINF', 'PR_PRP', 'PR_PRP')",1
10268,"('PR_PRP', 'PR_PRP', 'RD_PUNC', 'QT_QTC')",1
10269,"('JJ', 'N_NN', 'DM_DMQ', 'RP_RPD')",1
10270,"('DM_DMQ', 'RP_RPD', 'RD_SYM', 'N_NN')",1
10271,"('RP_RPD', 'RD_SYM', 'N_NN', 'N_NN')",1
10272,"('DM_DMQ', 'RP_RPD', 'RD_SYM', 'RD_PUNC')",1
10273,"('RP_RPD', 'RD_SYM', 'RD_PUNC', 'N_NN')",1
10274,"('N_NN', 'V_VM_VNG', 'DM_DMQ', 'V_VM_VF')",1
10275,"('V_VM_VNG', 'DM_DMQ', 'V_VM_VF', 'RD_PUNC')",1
10276,"('V_VM_VINF', 'N_NN', 'QT_QTC', 'RP_CL')",1
10277,"('QT_QTC', 'RP_CL', 'PR_PRP', 'RD_PUNC')",1
10278,"('RP_CL', 'PR_PRP', 'RD_PUNC', 'N_NN')",1
10279,"('RD_PUNC', 'RB', 'N_NN', 'JJ')",1
10280,"('V_VM_VNF', 'CC_CCD', 'RD_PUNC', 'DM_DMD')",1
10281,"('N_NN', 'V_VM_VNF', 'DM_DMR', 'RD_PUNC')",1
10282,"('V_VM_VNF', 'DM_DMR', 'RD_PUNC', 'V_VM_VINF')",1
10283,"('DM_DMR', 'RD_PUNC', 'V_VM_VINF', 'RD_PUNC')",1
10284,"('V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'RP_INTF')",1
10285,"('N_NN', 'DM_DMQ', 'V_VM_VNF', 'RP_RPD')",1
10286,"('DM_DMQ', 'V_VM_VNF', 'RP_RPD', 'N_NN')",1
10287,"('V_VAUX', 'N_NN', 'V_VM_VNG', 'PSP')",1
10288,"('V_VM_VNG', 'PSP', 'V_VM_VNF', 'RP_RPD')",1
10289,"('PSP', 'V_VM_VNF', 'RP_RPD', 'RD_PUNC')",1
10290,"('RD_PUNC', 'RP_RPD', 'N_NN', 'RP_RPD')",1
10291,"('RP_RPD', 'N_NN', 'RP_RPD', 'RD_PUNC')",1
10292,"('N_NN', 'RP_RPD', 'RD_PUNC', 'CC_CCS')",1
10293,"('RP_RPD', 'RD_PUNC', 'CC_CCS', 'N_NN')",1
10294,"('QT_QTC', 'V_VM_VNF', 'RB', 'RP_RPD')",1
10295,"('RD_PUNC', 'RB', 'PSP', 'V_VM_VF')",1
10296,"('DM_DMR', 'V_VM_VINF', 'N_NN', 'RD_PUNC')",1
10297,"('RB', 'V_VM_VNF', 'PR_PRP', 'JJ')",1
10298,"('RB', 'V_VM_VNF', 'V_VM_VNF', 'RD_SYM')",1
10299,"('V_VM_VNF', 'V_VM_VNF', 'RD_SYM', 'DM_DMQ')",1
10300,"('RD_SYM', 'DM_DMQ', 'N_NN', 'N_NN')",1
10301,"('RD_SYM', 'RD_PUNC', 'N_NNP', 'N_NN')",1
10302,"('RB', 'RD_PUNC', 'PR_PRP', 'PSP')",1
10303,"('RD_PUNC', 'PR_PRP', 'PSP', 'DM_DMQ')",1
10304,"('PR_PRP', 'PSP', 'DM_DMQ', 'N_NN')",1
10305,"('V_VM_VNF', 'N_NN', 'RD_PUNC', 'RP_INTF')",1
10306,"('N_NN', 'RD_PUNC', 'RP_INTF', 'V_VM_VF')",1
10307,"('RD_PUNC', 'RP_INTF', 'V_VM_VF', 'RD_PUNC')",1
10308,"('PR_PRP', 'RD_PUNC', 'N_NST', 'V_VM_VINF')",1
10309,"('DM_DMQ', 'RP_RPD', 'RD_PUNC', 'DM_DMD')",1
10310,"('RD_PUNC', 'DM_DMD', 'N_NN', 'RD_SYM')",1
10311,"('RD_SYM', 'PR_PRP', 'N_NN', 'N_NST')",1
10312,"('V_VM_VNG', 'PSP', 'PR_PRP', 'RD_PUNC')",1
10313,"('PSP', 'PR_PRP', 'RD_PUNC', 'N_NN')",1
10314,"('CC_CCD', 'PR_PRP', 'RP_RPD', 'PR_PRP')",1
10315,"('RP_RPD', 'N_NN', 'V_VM_VNF', 'RD_SYM')",1
10316,"('N_NN', 'RD_SYM', 'RD_PUNC', 'DM_DMR')",1
10317,"('RD_SYM', 'RD_PUNC', 'DM_DMR', 'N_NN')",1
10318,"('RD_PUNC', 'DM_DMR', 'N_NN', 'QT_QTF')",1
10319,"('DM_DMR', 'N_NN', 'QT_QTF', 'V_VM_VNF')",1
10320,"('N_NN', 'QT_QTF', 'V_VM_VNF', 'DM_DMQ')",1
10321,"('QT_QTF', 'V_VM_VNF', 'DM_DMQ', 'N_NN')",1
10322,"('V_VM_VNF', 'DM_DMQ', 'N_NN', 'QT_QTC')",1
10323,"('PSP', 'N_NN', 'RP_RPD', 'PR_PRP')",1
10324,"('RP_RPD', 'RD_PUNC', 'PR_PRP', 'V_VM_VINF')",1
10325,"('RD_PUNC', 'PR_PRP', 'V_VM_VINF', 'QT_QTC')",1
10326,"('RD_PUNC', 'DM_DMD', 'N_NN', 'QT_QTC')",1
10327,"('QT_QTC', 'N_NN', 'PR_PRP', 'RB')",1
10328,"('V_VM_VNF', 'RD_PUNC', 'CC_CCS_UT', 'DM_DMD')",1
10329,"('CC_CCS_UT', 'DM_DMD', 'N_NN', 'CC_CCD')",1
