,Tri_grams,Frequency
1798,"('RB', 'RP_RPD', 'N_NN')",3
1799,"('DM_DMD', 'N_NST', 'RB')",3
1800,"('N_NNP', 'CC_CCD', 'QT_QTC')",3
1801,"('PSP', 'PR_PRP', 'V_VM_VINF')",3
1802,"('JJ', 'PR_PRP', 'V_VM_VNF')",3
1803,"('N_NST', 'RD_PUNC', 'QT_QTC')",3
1804,"('PSP', 'RP_INTF', 'N_NN')",3
1805,"('V_VM_VNF', 'N_NST', 'RB')",3
1806,"('QT_QTF', 'V_VM_VNF', 'V_VM_VF')",3
1807,"('N_NST', 'N_NN', 'RP_NEG')",3
1808,"('RB', 'N_NN', 'N_NST')",3
1809,"('N_NST', 'PSP', 'V_VM_VNF')",3
1810,"('PR_PRP', 'RB', 'RB')",3
1811,"('JJ', 'RB', 'PR_PRP')",3
1812,"('', 'QT_QTC', 'RD_PUNC')",3
1813,"('QT_QTC', 'RD_SYM', 'RD_SYM')",3
1814,"('RD_SYM', 'RD_SYM', 'N_NN')",3
1815,"('QT_QTC', 'V_VM_VNF', 'QT_QTC')",3
1816,"('N_NN', 'PR_PRP', 'DM_DMD')",3
1817,"('RD_SYM', 'PSP', 'N_NST')",3
1818,"('CC_CCD', 'N_NNP', 'V_VM_VNF')",3
1819,"('PR_PRP', 'QT_QTC', 'RB')",3
1820,"('N_NNP', 'RB', 'V_VM_VNG')",3
1821,"('JJ', 'N_NN', 'CC_CCS')",3
1822,"('RD_PUNC', 'QT_QTF', 'RP_CL')",3
1823,"('V_VM_VNF', 'DM_DMQ', 'QT_QTC')",3
1824,"('QT_QTC', 'PSP', 'RP_RPD')",3
1825,"('DM_DMR', 'RB', 'V_VM_VNF')",3
1826,"('QT_QTC', 'RD_PUNC', 'CC_CCD')",3
1827,"('CC_CCD', 'CC_CCD', 'N_NN')",3
1828,"('N_NN', 'CC_CCD', 'CC_CCD')",3
1829,"('QT_QTC', 'RD_SYM', 'PSP')",3
1830,"('QT_QTC', 'RD_PUNC', 'PSP')",3
1831,"('RD_PUNC', 'PR_PRL', 'N_NN')",3
1832,"('PR_PRL', 'N_NN', 'V_VM_VNF')",3
1833,"('V_VM_VNF', 'RB', 'V_VM_VNG')",3
1834,"('DM_DMQ', 'V_VM_VNF', 'RP_RPD')",3
1835,"('V_VM_VNG', 'RD_PUNC', 'CC_CCD')",3
1836,"('RP_NEG', 'JJ', 'N_NN')",3
1837,"('RD_PUNC', 'V_VM_VNF', 'DM_DMD')",3
1838,"('RP_NEG', 'N_NN', 'RP_NEG')",3
1839,"('CC_CCD', 'PR_PRP', 'PSP')",3
1840,"('V_VM_VNF', 'DM_DMD', 'JJ')",3
1841,"('PSP', 'V_VM_VNF', 'JJ')",3
1842,"('QT_QTF', 'N_NN', 'QT_QTC')",3
1843,"('N_NNP', 'V_VM_VNF', 'RB')",3
1844,"('QT_QTF', 'N_NN', 'V_VM_VNG')",3
1845,"('CC_CCD', 'RD_PUNC', 'V_VM_VNF')",3
1846,"('N_NNP', 'N_NST', 'PR_PRP')",3
1847,"('N_NN', 'V_VM_VNG', 'CC_CCD')",3
1848,"('PR_PRP', 'QT_QTF', 'RP_CL')",3
1849,"('V_VM_VNG', 'QT_QTC', 'N_NN')",3
1850,"('N_NST', 'PR_PRP', 'JJ')",3
1851,"('RD_PUNC', 'DM_DMD', 'RB')",3
1852,"('RD_PUNC', 'N_NST', 'DM_DMQ')",3
1853,"('V_VM_VINF', 'DM_DMQ', 'N_NN')",3
1854,"('PR_PRP', 'CC_CCD', 'RB')",3
1855,"('N_NST', 'DM_DMQ', 'V_VM_VF')",3
1856,"('V_VM_VNF', 'PSP', 'PR_PRP')",3
1857,"('RD_PUNC', 'QT_QTC', 'V_VM_VINF')",3
1858,"('RP_INTF', 'N_NN', 'RP_INTF')",3
1859,"('V_VM_VNF', 'RP_RPD', 'QT_QTC')",3
1860,"('N_NN', 'DM_DMQ', 'CC_CCD')",3
1861,"('QT_QTF', 'N_NN', 'DM_DMD')",3
1862,"('RB', 'V_VM_VNF', 'CC_CCS_UT')",3
1863,"('N_NN', 'QT_QTC', 'QT_QTF')",3
1864,"('QT_QTC', 'QT_QTF', 'N_NN')",3
1865,"('N_NNP', 'QT_QTC', 'PSP')",3
1866,"('PR_PRP', 'V_VM_VNF', 'CC_CCD')",3
1867,"('V_VM_VNF', 'CC_CCD', 'JJ')",3
1868,"('V_VM_VNF', 'QT_QTC', 'PSP')",3
1869,"('V_VM_VNF', 'V_VM_VINF', 'JJ')",3
1870,"('N_NN', 'RB', 'RD_SYM')",3
1871,"('N_NN', 'JJ', 'V_VM_VINF')",3
1872,"('RD_PUNC', 'PR_PRP', 'CC_CCD')",3
1873,"('PSP', 'PR_PRP', 'RB')",3
1874,"('N_NST', 'PR_PRP', 'PR_PRP')",3
1875,"('PR_PRP', 'V_VM_VNG', 'V_VM_VNF')",3
1876,"('N_NN', 'JJ', 'QT_QTF')",3
1877,"('N_NN', 'DM_DMQ', 'V_VM_VNG')",3
1878,"('RP_RPD', 'N_NN', 'N_NNP')",3
1879,"('PSP', 'N_NN', 'DM_DMR')",3
1880,"('CC_CCS', 'PR_PRP', 'N_NN')",3
1881,"('JJ', 'RP_RPD', 'N_NN')",3
1882,"('QT_QTC', 'N_NN', 'DM_DMQ')",3
1883,"('N_NNP', 'N_NNP', 'CC_CCS_UT')",3
1884,"('N_NST', 'RB', 'PR_PRP')",3
1885,"('CC_CCD', 'RD_PUNC', 'JJ')",3
1886,"('DM_DMQ', 'V_VM_VNF', 'N_NST')",3
1887,"('N_NNP', 'N_NN', 'V_VM_VNG')",3
1888,"('QT_QTO', 'N_NN', 'RD_SYM')",3
1889,"('N_NST', 'PSP', 'N_NST')",3
1890,"('DM_DMR', 'V_VM_VINF', 'N_NN')",3
1891,"('RP_RPD', 'N_NN', 'N_NST')",3
1892,"('RD_PUNC', 'RB', 'PSP')",3
1893,"('RD_PUNC', 'V_VM_VINF', 'PR_PRP')",3
1894,"('V_VM_VNF', 'PR_PRP', 'DM_DMR')",3
1895,"('V_VAUX', 'RD_PUNC', 'DM_DMD')",3
1896,"('N_NN', 'RD_PUNC', 'QT_QTO')",3
1897,"('V_VM_VINF', 'RD_PUNC', 'QT_QTC')",3
1898,"('V_VM_VNF', 'V_VM_VNF', 'V_VM_VINF')",3
1899,"('N_NN', 'RP_NEG', 'V_VM_VF')",3
1900,"('DM_DMQ', 'RP_NEG', 'RD_PUNC')",3
1901,"('V_VM_VNF', 'CC_CCD', 'V_VM_VNF')",3
1902,"('DM_DMQ', 'DM_DMQ', 'N_NN')",3
1903,"('DM_DMD', 'N_NN', 'RD_SYM')",3
1904,"('PR_PRP', 'V_VM_VINF', 'N_NST')",3
1905,"('RD_PUNC', 'N_NST', 'QT_QTC')",3
1906,"('V_VAUX', 'RD_PUNC', 'RB')",3
1907,"('V_VM_VNF', 'V_VAUX', 'CC_CCD')",3
1908,"('RB', 'RP_RPD', 'V_VM_VF')",3
1909,"('V_VM_VNF', 'QT_QTF', 'V_VM_VF')",3
1910,"('RP_RPD', 'PR_PRP', 'N_NST')",3
1911,"('RB', 'DM_DMQ', 'V_VM_VNF')",3
1912,"('CC_CCD', 'RD_PUNC', 'V_VM_VINF')",3
1913,"('RP_RPD', 'RD_PUNC', 'CC_CCS_UT')",3
1914,"('RD_PUNC', 'RB', 'V_VM_VNG')",3
1915,"('PR_PRP', 'QT_QTF', 'RB')",3
1916,"('V_VM_VNG', 'RB', 'V_VM_VNF')",3
1917,"('RB', 'RD_SYM', 'N_NN')",3
1918,"('RP_RPD', 'V_VM_VNF', 'CC_CCD')",3
1919,"('PR_PRP', 'N_NST', 'DM_DMQ')",3
1920,"('N_NST', 'RD_PUNC', 'QT_QTF')",3
1921,"('PR_PRP', 'RP_RPD', 'V_VM_VF')",3
1922,"('N_NN', 'RD_PUNC', 'RP_NEG')",3
1923,"('V_VM_VNF', 'CC_CCD', 'DM_DMQ')",3
1924,"('RD_PUNC', 'CC_CCS', 'RD_PUNC')",3
1925,"('RB', 'RP_RPD', 'RD_PUNC')",3
1926,"('V_VM_VNF', 'RD_SYM', 'DM_DMQ')",3
1927,"('PR_PRP', 'RP_RPD', 'PR_PRP')",3
1928,"('RD_PUNC', 'PSP', 'N_NNP')",3
1929,"('PR_PRP', 'RD_PUNC', 'DM_DMD')",3
1930,"('CC_CCS_UT', 'DM_DMD', 'N_NN')",3
1931,"('RP_RPD', 'PR_PRP', 'RD_PUNC')",3
1932,"('PR_PRP', 'V_VM_VNG', 'DM_DMQ')",3
1933,"('V_VAUX', 'RD_PUNC', 'PR_PRP')",3
1934,"('V_VM_VINF', 'PR_PRP', 'V_VM_VNG')",3
1935,"('RD_PUNC', 'CC_CCD', 'V_VM_VF')",3
1936,"('RD_PUNC', 'PSP', 'PR_PRP')",3
1937,"('PR_PRP', 'RD_PUNC', 'RB')",3
1938,"('PR_PRP', 'RD_PUNC', 'DM_DMQ')",3
1939,"('RB', 'PR_PRP', 'QT_QTC')",3
1940,"('PSP', 'PR_PRP', 'PR_PRP')",3
1941,"('RD_PUNC', 'V_VM_VNF', 'RP_RPD')",3
1942,"('PR_PRP', 'RD_SYM', 'N_NNP')",3
1943,"('PR_PRP', 'V_VM_VNG', 'N_NN')",3
1944,"('RD_SYM', 'V_VM_VNF', 'V_VM_VF')",3
1945,"('RP_RPD', 'V_VM_VNF', 'PR_PRP')",3
1946,"('PR_PRP', 'V_VM_VNF', 'RP_NEG')",3
1947,"('QT_QTC', 'V_VM_VINF', 'QT_QTC')",3
1948,"('CC_CCD', 'QT_QTO', 'N_NN')",3
1949,"('QT_QTC', 'N_NN', 'CC_CCS_UT')",3
1950,"('NN', 'RD_SYM', 'N_NN')",3
1951,"('PR_PRP', 'QT_QTC', 'PSP')",3
1952,"('QT_QTO', 'N_NN', 'DM_DMQ')",3
1953,"('RD_PUNC', 'QT_QTC', 'DM_DMR')",3
1954,"('QT_QTC', 'DM_DMR', 'N_NN')",3
1955,"('V_VM_VINF', 'N_NN', 'CC_CCS_UT')",3
1956,"('RD_PUNC', 'RD_SYM', 'RD_PUNC')",3
1957,"('V_VM_VNF', 'CC_CCD', 'V_VM_VF')",3
1958,"('CC_CCS_UT', 'N_NNP', 'V_VM_VF')",3
1959,"('DM_DMQ', 'V_VM_VNF', 'N_NNP')",3
1960,"('PSP', 'V_VM_VINF', 'QT_QTF')",3
1961,"('CC_CCS_UT', 'V_VM_VNF', 'PR_PRP')",3
1962,"('RD_PUNC', 'N_NNP', 'DM_DMQ')",3
1963,"('RP_RPD', 'RD_PUNC', 'RP_RPD')",3
1964,"('RD_PUNC', 'RB', 'DM_DMQ')",3
1965,"('N_NN', 'QT_QTC', 'DM_DMD')",3
1966,"('QT_QTC', 'DM_DMD', 'N_NN')",3
1967,"('RP_INJ', 'RD_PUNC', 'N_NNP')",3
1968,"('RP_RPD', 'RP_RPD', 'QT_QTC')",3
1969,"('PR_PRP', 'V_VM_VNF', 'N_NST')",3
1970,"('RD_PUNC', 'CC_CCS_UT', 'N_NST')",3
1971,"('CC_CCS_UT', 'RB', 'V_VM_VNF')",3
1972,"('N_NN', 'DM_DMR', 'QT_QTC')",3
1973,"('NN', 'N_NN', 'RD_PUNC')",3
1974,"('RD_PUNC', 'RP_RPD', 'PSP')",3
1975,"('RP_RPD', 'PSP', 'N_NNP')",3
1976,"('V_VM_VNF', 'N_NN', 'PR_PRQ')",2
1977,"('PR_PRP', 'PSP', 'N_NNP')",2
1978,"('QT_QTC', 'PSP', 'DM_DMD')",2
1979,"('V_VM_VF', 'RD_PUNC', 'N_NN')",2
1980,"('N_NN', 'RD_SYM', 'QT_QTF')",2
1981,"('QT_QTC', 'RD_SYM', 'RP_RPD')",2
1982,"('CC_CCD', 'RD_PUNC', 'CC_CCD')",2
1983,"('N_NST', 'RD_PUNC', 'RB')",2
1984,"('V_VM_VINF', 'V_VAUX', 'RD_PUNC')",2
1985,"('V_VM_VNF', 'RP_RPD', 'RB')",2
1986,"('N_NST', 'V_VM_VNF', 'QT_QTF')",2
1987,"('RP_RPD', 'V_VM_VINF', 'PR_PRP')",2
1988,"('V_VM_VF', 'RD_PUNC', 'RB')",2
1989,"('V_VAUX', 'RP_RPD', 'N_NN')",2
1990,"('QT_QTC', 'PSP', 'V_VM_VNG')",2
1991,"('RD_PUNC', 'DM_DMR', 'JJ')",2
1992,"('V_VM_VINF', 'N_NN', 'V_VAUX')",2
1993,"('N_NST', 'N_NN', 'CC_CCD')",2
1994,"('N_NST', 'QT_QTC', 'RD_PUNC')",2
1995,"('N_NST', 'V_VM_VNG', 'PSP')",2
1996,"('QT_QTC', 'PR_PRP', 'N_NST')",2
1997,"('DM_DMQ', 'N_NN', 'DM_DMD')",2
1998,"('N_NST', 'V_VM_VNG', 'N_NN')",2
1999,"('RD_SYM', 'N_NN', 'V_VM_VNG')",2
2000,"('RP_RPD', 'QT_QTF', 'V_VM_VF')",2
2001,"('N_NNP', 'N_NN', 'QT_QTO')",2
2002,"('DM_DMR', 'QT_QTO', 'N_NN')",2
2003,"('RB', 'N_NN', 'RD_SYM')",2
2004,"('PR_PRP', 'V_VM_VNF', 'V_VM_VNG')",2
2005,"('V_VM_VNF', 'V_VM_VNF', 'QT_QTF')",2
2006,"('V_VM_VNG', 'RP_RPD', 'QT_QTC')",2
2007,"('RD_PUNC', 'V_VM_VNG', 'V_VM_VF')",2
2008,"('V_VM_VNF', 'RB', 'RB')",2
2009,"('V_VM_VNF', 'RB', 'QT_QTF')",2
2010,"('PSP', 'CC_CCD', 'JJ')",2
2011,"('RP_RPD', 'N_NN', 'RP_INTF')",2
2012,"('N_NST', 'RP_RPD', 'V_VM_VF')",2
2013,"('RB', 'RB', 'RB')",2
2014,"('QT_QTC', 'RD_SYM', 'RB')",2
2015,"('PSP', 'RP_NEG', 'N_NN')",2
2016,"('CC_CCS', 'V_VM_VNF', 'N_NN')",2
2017,"('V_VM_VNF', 'DM_DMR', 'JJ')",2
2018,"('V_VM_VINF', 'N_NST', 'RP_RPD')",2
2019,"('QT_QTC', 'RD_PUNC', 'V_VM_VNG')",2
2020,"('RP_NEG', 'CC_CCD', 'PR_PRP')",2
2021,"('CC_CCS', 'V_VM_VNF', 'RD_PUNC')",2
2022,"('CC_CCS', 'N_NN', 'V_VM_VNG')",2
2023,"('N_NN', 'DM_DMR', 'RD_PUNC')",2
2024,"('N_NST', 'N_NN', 'DM_DMD')",2
2025,"('N_NST', 'V_VM_VNF', 'DM_DMR')",2
2026,"('PR_PRP', 'RB', 'N_NST')",2
2027,"('RD_PUNC', 'V_VM_VNG', 'N_NN')",2
2028,"('RD_PUNC', 'V_VM_VNF', 'QT_QTF')",2
2029,"('V_VM_VNG', 'PSP', 'RB')",2
2030,"('V_VM_VNF', 'CC_CCS', 'N_NN')",2
2031,"('RP_RPD', 'N_NN', 'QT_QTF')",2
2032,"('RB', 'CC_CCD', 'N_NN')",2
2033,"('V_VM_VNF', 'RP_RPD', 'JJ')",2
2034,"('PSP', 'PR_PRP', 'N_NST')",2
2035,"('PR_PRP', 'RB', 'V_VM_VNG')",2
2036,"('QT_QTC', 'N_NST', 'QT_QTC')",2
2037,"('QT_QTF', 'RP_CL', 'V_VM_VF')",2
2038,"('RP_CL', 'V_VM_VF', 'RD_PUNC')",2
2039,"('PR_PRP', 'N_NNP', 'RP_INTF')",2
2040,"('N_NN', 'N_NST', 'QT_QTO')",2
2041,"('N_NST', 'QT_QTO', 'N_NN')",2
2042,"('CC_CCS_UT', 'CC_CCD', 'N_NN')",2
2043,"('PR_PRP', 'PSP', 'N_NST')",2
2044,"('CC_CCS', 'N_NNP', 'RP_INTF')",2
2045,"('N_NNP', 'CC_CCS', 'N_NN')",2
2046,"('RP_INJ', 'N_NNP', 'RD_PUNC')",2
2047,"('CC_CCD', 'N_NNP', 'N_NST')",2
2048,"('PSP', 'QT_QTC', 'JJ')",2
2049,"('N_NST', 'N_NNP', 'N_NST')",2
2050,"('N_NN', 'RP_INTF', 'QT_QTF')",2
2051,"('RP_INTF', 'QT_QTF', 'N_NN')",2
2052,"('N_NN', 'V_VM_VINF', 'RP_INTF')",2
2053,"('V_VM_VINF', 'RP_INTF', 'N_NN')",2
2054,"('N_NNP', 'N_NST', 'QT_QTC')",2
2055,"('N_NST', 'N_NNP', 'RB')",2
2056,"('CC_CCS', 'DM_DMR', 'N_NN')",2
2057,"('V_VM_VNF', 'JJ', 'V_VM_VNF')",2
2058,"('N_NNP', 'PSP', 'RB')",2
2059,"('V_VM_VF', 'N_NNP', 'RD_PUNC')",2
2060,"('PR_PRP', 'V_VM_VINF', 'N_NNP')",2
2061,"('CC_CCD', 'QT_QTF', 'JJ')",2
2062,"('CC_CCD', 'N_NNP', 'RD_PUNC')",2
2063,"('QT_QTC', 'V_VM_VNF', 'V_VM_VNF')",2
2064,"('N_NN', 'N_NNP', 'DM_DMD')",2
2065,"('N_NST', 'N_NNP', 'RD_SYM')",2
2066,"('RD_SYM', 'N_NNP', 'V_VM_VF')",2
2067,"('N_NN', 'CC_CCS', 'N_NNP')",2
2068,"('V_VM_VNF', 'N_NNP', 'PR_PRP')",2
2069,"('QT_QTC', 'N_NNP', 'V_VM_VNF')",2
2070,"('RD_PUNC', 'V_VM_VINF', 'N_NNP')",2
2071,"('RP_NEG', 'N_NN', 'PSP')",2
2072,"('PSP', 'RD_PUNC', 'JJ')",2
2073,"('RD_PUNC', 'QT_QTC', 'V_VM_VF')",2
2074,"('N_NN', 'RD_UNK', 'RD_PUNC')",2
2075,"('N_NN', 'RD_UNK', 'N_NN')",2
2076,"('RD_UNK', 'N_NN', 'PSP')",2
2077,"('PR_PRP', 'JJ', 'V_VM_VF')",2
2078,"('N_NST', 'QT_QTC', 'RB')",2
2079,"('QT_QTC', 'RB', 'RD_PUNC')",2
2080,"('PSP', 'RD_PUNC', 'DM_DMD')",2
2081,"('CC_CCS', 'N_NN', 'V_VM_VF')",2
2082,"('RP_INTF', 'N_NN', 'CC_CCD')",2
2083,"('N_NST', 'PSP', 'DM_DMD')",2
2084,"('N_NNP', 'V_VM_VNF', 'RD_SYM')",2
2085,"('CC_CCS_UT', 'N_NNP', 'N_NN')",2
2086,"('V_VM_VNF', 'DM_DMD', 'QT_QTC')",2
2087,"('N_NST', 'RP_INTF', 'JJ')",2
2088,"('N_NN', 'RD_PUNC', 'RD_UNK')",2
2089,"('RD_UNK', 'RD_PUNC', 'CC_CCD')",2
2090,"('QT_QTC', 'QT_QTC', 'RP_CL')",2
2091,"('RD_UNK', 'RD_PUNC', 'RD_PUNC')",2
2092,"('N_NNP', 'V_VM_VNF', 'JJ')",2
2093,"('RD_SYM', 'N_NN', 'RP_RPD')",2
2094,"('PR_PRP', 'PSP', 'V_VM_VINF')",2
2095,"('PSP', 'V_VM_VINF', 'V_VM_VNF')",2
2096,"('V_VM_VNF', 'RD_SYM', 'DM_DMR')",2
2097,"('CC_CCD', 'PR_PRP', 'N_NST')",2
2098,"('N_NNP', 'V_VM_VNF', 'V_VAUX')",2
2099,"('N_NNP', 'N_NST', 'V_VM_VINF')",2
2100,"('V_VM_VNF', 'N_NNP', 'JJ')",2
2101,"('RP_INTF', 'RB', 'RD_PUNC')",2
2102,"('V_VM_VNF', 'RD_PUNC', 'RD_UNK')",2
2103,"('PSP', 'RD_PUNC', 'V_VM_VNF')",2
2104,"('N_NNP', 'V_VM_VNF', 'QT_QTC')",2
2105,"('QT_QTC', 'N_NST', 'V_VM_VNF')",2
2106,"('N_NNP', 'PSP', 'PR_PRP')",2
2107,"('RP_INTF', 'JJ', 'PR_PRP')",2
2108,"('PSP', 'JJ', 'N_NNP')",2
2109,"('N_NNP', 'JJ', 'N_NNP')",2
2110,"('JJ', 'N_NNP', 'V_VM_VNF')",2
2111,"('V_VM_VINF', 'RD_PUNC', 'RD_PUNC')",2
2112,"('V_VM_VINF', 'N_NST', 'N_NNP')",2
2113,"('N_NNP', 'RB', 'N_NNP')",2
2114,"('RB', 'N_NNP', 'V_VM_VINF')",2
2115,"('N_NST', 'N_NNP', 'CC_CCD')",2
2116,"('PR_PRP', 'N_NST', 'JJ')",2
2117,"('RD_PUNC', 'N_NNP', 'RP_INTF')",2
2118,"('QT_QTF', 'N_NNP', 'V_VM_VF')",2
2119,"('N_NST', 'PSP', 'N_NNP')",2
2120,"('N_NNP', 'N_NNP', 'V_VM_VINF')",2
2121,"('CC_CCS_UT', 'V_VM_VNF', 'V_VM_VNF')",2
2122,"('V_VM_VNF', 'RP_RPD', 'N_NNP')",2
2123,"('JJ', 'PR_PRP', 'RD_PUNC')",2
2124,"('PSP', 'V_VM_VINF', 'N_NNP')",2
2125,"('PSP', 'V_VM_VINF', 'QT_QTC')",2
2126,"('RB', 'RD_PUNC', 'V_VM_VNG')",2
2127,"('RP_INTF', 'N_NN', 'RP_RPD')",2
2128,"('QT_QTF', 'V_VM_VNF', 'DM_DMD')",2
2129,"('N_NST', 'N_NNP', 'PSP')",2
2130,"('N_NNP', 'PSP', 'QT_QTF')",2
2131,"('PSP', 'QT_QTF', 'RP_CL')",2
2132,"('CC_CCS_UT', 'RP_RPD', 'V_VM_VF')",2
2133,"('N_NST', 'N_NNP', 'V_VM_VF')",2
2134,"('V_VAUX', 'N_NNP', 'N_NN')",2
2135,"('PR_PRP', 'QT_QTC', 'JJ')",2
2136,"('N_NNP', 'PSP', 'QT_QTC')",2
2137,"('N_NNP', 'CC_CCS_UT', 'N_NN')",2
2138,"('JJ', 'PSP', 'N_NN')",2
2139,"('RB', 'QT_QTC', 'QT_QTC')",2
2140,"('N_NST', 'N_NST', 'QT_QTC')",2
2141,"('RP_RPD', 'QT_QTO', 'N_NN')",2
2142,"('CC_CCD', 'N_NST', 'JJ')",2
2143,"('PR_PRP', 'RB', 'N_NNP')",2
2144,"('QT_QTO', 'N_NN', 'RB')",2
2145,"('RD_SYM', 'JJ', 'RD_SYM')",2
2146,"('JJ', 'V_VM_VNG', 'N_NN')",2
2147,"('PR_PRP', 'JJ', 'QT_QTC')",2
2148,"('DM_DMQ', 'QT_QTC', 'JJ')",2
2149,"('N_NNP', 'RP_INTF', 'RB')",2
2150,"('RD_PUNC', 'RB', 'QT_QTF')",2
2151,"('RB', 'PR_PRP', 'PR_PRP')",2
2152,"('V_VM_VNF', 'RB', 'DM_DMD')",2
2153,"('V_VM_VNF', 'RP_RPD', 'DM_DMD')",2
2154,"('CC_CCD', 'RB', 'DM_DMD')",2
2155,"('DM_DMD', 'QT_QTF', 'N_NN')",2
2156,"('V_VM_VINF', 'V_VM_VNF', 'V_VAUX')",2
2157,"('CC_CCS_UT', 'N_NNP', 'N_NNP')",2
2158,"('N_NNP', 'N_NNP', 'DM_DMD')",2
2159,"('RB', 'RD_PUNC', 'QT_QTC')",2
2160,"('V_VM_VNF', 'PSP', 'QT_QTC')",2
2161,"('CC_CCD', 'V_VM_VNF', 'V_VAUX')",2
2162,"('N_NN', 'V_VM_VNF', 'RP_CL')",2
2163,"('V_VM_VNF', 'RP_CL', 'N_NN')",2
2164,"('PR_PRP', 'DM_DMQ', 'DM_DMQ')",2
2165,"('N_NST', 'RP_RPD', 'PR_PRP')",2
2166,"('RD_SYM', 'RD_PUNC', 'V_VM_VNF')",2
2167,"('RD_PUNC', 'RP_INTF', 'RB')",2
2168,"('PSP', 'RD_SYM', 'V_VM_VNF')",2
2169,"('RD_SYM', 'V_VM_VNF', 'RP_RPD')",2
2170,"('DM_DMQ', 'RP_RPD', 'RB')",2
2171,"('PSP', 'PSP', 'V_VM_VNF')",2
2172,"('RP_RPD', 'N_NST', 'JJ')",2
2173,"('V_VM_VNF', 'PSP', 'RB')",2
2174,"('V_VM_VINF', 'V_VAUX', 'N_NN')",2
2175,"('RB', 'PR_PRP', 'DM_DMQ')",2
2176,"('V_VM_VNF', 'DM_DMD', 'RD_PUNC')",2
2177,"('RD_PUNC', 'DM_DMD', 'V_VM_VNF')",2
2178,"('CC_CCD', 'PR_PRP', 'QT_QTC')",2
2179,"('RB', 'DM_DMD', 'RD_PUNC')",2
2180,"('RP_INTF', 'V_VM_VNF', 'V_VM_VNF')",2
2181,"('N_NNP', 'N_NST', 'RD_PUNC')",2
2182,"('CC_CCD', 'RD_PUNC', 'QT_QTC')",2
2183,"('QT_QTC', 'N_NST', 'V_VM_VINF')",2
2184,"('QT_QTC', 'N_NNP', 'CC_CCD')",2
2185,"('N_NNP', 'CC_CCD', 'PR_PRP')",2
2186,"('JJ', 'DM_DMD', 'N_NN')",2
2187,"('DM_DMD', 'RB', 'PR_PRP')",2
2188,"('QT_QTF', 'N_NN', 'QT_QTF')",2
2189,"('RB', 'QT_QTC', 'RB')",2
2190,"('PR_PRP', 'CC_CCD', 'N_NNP')",2
2191,"('RP_RPD', 'V_VM_VINF', 'RD_PUNC')",2
2192,"('RD_PUNC', 'PSP', 'RB')",2
2193,"('PSP', 'RD_PUNC', 'RD_PUNC')",2
2194,"('RD_PUNC', 'PSP', 'DM_DMD')",2
2195,"('N_NN', 'QT_QTF', 'V_VM_VINF')",2
2196,"('RB', 'N_NN', 'N_NNP')",2
2197,"('N_NN', 'CC_CCS_UT', 'JJ')",2
2198,"('N_NNP', 'RB', 'JJ')",2
2199,"('PR_PRP', 'N_NNP', 'RB')",2
2200,"('RB', 'PSP', 'RP_RPD')",2
2201,"('PSP', 'RP_RPD', 'PR_PRP')",2
2202,"('PR_PRP', 'RB', 'DM_DMQ')",2
2203,"('RB', 'DM_DMQ', 'V_VM_VF')",2
2204,"('RP_RPD', 'RD_PUNC', 'QT_QTC')",2
2205,"('V_VM_VINF', 'N_NNP', 'V_VM_VNF')",2
2206,"('V_VM_VNF', 'CC_CCD', 'N_NST')",2
2207,"('N_NST', 'RB', 'N_NNP')",2
2208,"('N_NST', 'RP_RPD', 'DM_DMD')",2
2209,"('RP_RPD', 'DM_DMD', 'N_NST')",2
2210,"('DM_DMD', 'V_VM_VINF', 'PR_PRP')",2
2211,"('N_NN', 'DM_DMQ', 'PSP')",2
2212,"('V_VM_VNF', 'V_VM_VINF', 'DM_DMD')",2
2213,"('DM_DMD', 'RB', 'V_VM_VF')",2
2214,"('N_NST', 'RD_SYM', 'CC_CCD')",2
2215,"('PSP', 'N_NST', 'PSP')",2
2216,"('N_NST', 'PSP', 'QT_QTC')",2
2217,"('N_NN', 'V_VM_VINF', 'QT_QTO')",2
2218,"('QT_QTO', 'JJ', 'N_NN')",2
2219,"('PSP', 'V_VM_VNF', 'N_NNP')",2
2220,"('PSP', 'RP_INTF', 'RB')",2
2221,"('RP_RPD', 'PR_PRP', 'N_NNP')",2
2222,"('PSP', 'RB', 'N_NST')",2
2223,"('RB', 'V_VM_VNF', 'QT_QTF')",2
2224,"('PR_PRP', 'N_NST', 'RB')",2
2225,"('PSP', 'PR_PRP', 'QT_QTF')",2
2226,"('PR_PRP', 'V_VM_VINF', 'RD_PUNC')",2
2227,"('RB', 'V_VM_VINF', 'DM_DMD')",2
2228,"('RD_SYM', 'N_NN', 'DM_DMD')",2
2229,"('QT_QTC', 'JJ', 'JJ')",2
2230,"('N_NN', 'RB', 'QT_QTO')",2
2231,"('PSP', 'RP_NEG', 'V_VM_VF')",2
2232,"('QT_QTF', 'N_NN', 'RP_NEG')",2
2233,"('CC_CCD', 'N_NST', 'N_NN')",2
2234,"('RB', 'PSP', 'V_VM_VF')",2
2235,"('QT_QTF', 'N_NST', 'V_VM_VNF')",2
2236,"('RB', 'V_VM_VNF', 'RP_INTF')",2
2237,"('V_VM_VNF', 'RD_SYM', 'N_NST')",2
2238,"('N_NST', 'V_VM_VNF', 'DM_DMD')",2
2239,"('N_NST', 'RD_PUNC', 'V_VM_VNF')",2
2240,"('RD_SYM', 'QT_QTC', 'V_VM_VNF')",2
